scenario,institution,ablation,seed,cluster_spread,bills_processed,bills_passed,passage_rate,avg_representation_distance,representation_inequality,perfect_representation_rate
fragmented,parliamentary,no_discipline,13,0.15,30,8,0.26666666666666666,1.1583049268718806,0.4714406203438026,0.09523809523809523
fragmented,parliamentary,no_discipline,14,0.15,30,11,0.36666666666666664,1.141058568352717,0.43756465314022047,0.047619047619047616
fragmented,parliamentary,no_discipline,15,0.15,30,7,0.23333333333333334,1.1334797858805792,0.4534431488784677,0.047619047619047616
fragmented,parliamentary,no_discipline,16,0.15,30,10,0.3333333333333333,1.1378923118653255,0.4589055214600874,0.0
fragmented,parliamentary,no_discipline,17,0.15,30,14,0.4666666666666667,1.130196151638621,0.4054582289076424,0.0
fragmented,parliamentary,no_discipline,18,0.15,30,8,0.26666666666666666,1.1503211729842087,0.4254609674663557,0.047619047619047616
fragmented,parliamentary,no_discipline,19,0.15,30,8,0.26666666666666666,1.104983925958428,0.4010111754108908,0.0
fragmented,parliamentary,no_discipline,20,0.15,30,9,0.3,1.0951088885669922,0.4054928736339831,0.047619047619047616
fragmented,parliamentary,no_discipline,21,0.15,30,11,0.36666666666666664,1.1030328325670566,0.4794889223743657,0.09523809523809523
fragmented,parliamentary,no_discipline,22,0.15,30,9,0.3,1.12662931297393,0.49735264196444573,0.09523809523809523
fragmented,parliamentary,no_discipline,23,0.15,30,15,0.5,1.1157075259636722,0.45758331156224874,0.047619047619047616
fragmented,parliamentary,no_discipline,24,0.15,30,11,0.36666666666666664,1.1295258743515302,0.45063833576931184,0.0
fragmented,parliamentary,no_discipline,25,0.15,30,8,0.26666666666666666,1.0875311403357804,0.45554321840746553,0.0
fragmented,parliamentary,no_discipline,26,0.15,30,8,0.26666666666666666,1.1740112433595742,0.4794557815852278,0.09523809523809523
fragmented,parliamentary,no_discipline,27,0.15,30,12,0.4,1.133563172582987,0.5106009791040044,0.09523809523809523
fragmented,parliamentary,no_discipline,28,0.15,30,12,0.4,1.1099095413882543,0.43503923205251493,0.047619047619047616
fragmented,parliamentary,no_discipline,29,0.15,30,8,0.26666666666666666,1.1389334424382647,0.48776704082842554,0.047619047619047616
fragmented,parliamentary,no_discipline,30,0.15,30,5,0.16666666666666666,1.1388706229920285,0.4543645775589019,0.0
fragmented,parliamentary,no_discipline,31,0.15,30,7,0.23333333333333334,1.1357835799343174,0.3916923208042863,0.0
fragmented,parliamentary,no_discipline,32,0.15,30,13,0.43333333333333335,1.0801200704663412,0.4943068928070553,0.09523809523809523
fragmented,parliamentary,no_discipline,33,0.15,30,11,0.36666666666666664,1.132677069014924,0.46881861760548016,0.0
fragmented,parliamentary,no_discipline,34,0.15,30,12,0.4,1.1245477002915547,0.43852921155849733,0.047619047619047616
fragmented,parliamentary,no_discipline,35,0.15,30,10,0.3333333333333333,1.127018996385875,0.4034957948467247,0.0
fragmented,parliamentary,no_discipline,36,0.15,30,12,0.4,1.1280878794344193,0.45049131043774676,0.09523809523809523
fragmented,parliamentary,no_discipline,37,0.15,30,16,0.5333333333333333,1.1235853848143211,0.4523067904897765,0.047619047619047616
fragmented,parliamentary,no_discipline,38,0.15,30,13,0.43333333333333335,1.1141187271350652,0.46139728724633033,0.047619047619047616
